market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sentiments
"""US""","""22765168""","""R3T6TTD2IN0EFZ""","""B00XDXMLL2""","""971154239""","""Skippy Creamy Peanut Butter, with Salted Caramel 15oz (Pack of 4)""","""Grocery""",0,4,4,0 	(N),0 	(N),"""1 Out Of 5 Of My Co-Workers Thought It Was ""Okay""""","""I bought this from a local super market on a whim and decided to let people know how it tastes. I'm a huge fan of peanut butter and salted caramel.<br /><br />For instance, I had a Salted Caramel and Almond Kind Bar today and it was amazing. It tasted like you would expect it to taste.<br /><br />However, this particular product tastes like a chemical spill. It starts off with a peanut butter taste, but then the (caramel I'm guessing) tastes kind of burnt and chemical-like, and then it finishes with a very salty burnt taste.<br /><br />I had some on a spoon and disliked it, then I put some on pretzel bread and it was slightly palatable, but overall I would avoid this product as it doesn't really taste like salted caramel peanut butter.<br /><br />Just for fun, I let my co-workers taste it and only 1 out of 5 of them thought that this product tasted &#34;okay&#34;. The rest of them shared my sentiment.""",2015-08-31,negative
"""US""","""36328996""","""R1OCUGZ444NKV3""","""B00MN4KX3A""","""787182505""","""Celestial Seasonings Tropical Fruit Cool Brew Herbal Tea Bags, 40 ct â€¦""","""Grocery""",1,5,5,0 	(N),1 	(Y),"""delicious tea and easy to make""","""I love this tea, it's delicious and since it is cool brew I don't have to put on a kettle or boil water them waste ice trying to cool down my tea for summer time. Also, when I'm on the go, I can stick a bag into a water bottle I get out of the refrigerator and go out the door.""",2015-08-31,positive
"""US""","""27092724""","""RCQQGWTC4J4TZ""","""B004NTCE1M""","""653570135""","""Nutiva Organic Virgin Coconut Oil, 15 Ounce""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Best coconut oil""","""I have used servo different brands of coconut oil and this is by the best! It wasn't gritty like most and very smooth. I really like that you can subscribe to purchase it monthly. One thing I know that is a little bit of coconut oil goes a long way! We use coconut oil for lotion and also for our dog. It has many uses and I enjoy this brand best! Definitely will purchase it again and again!""",2015-08-31,positive
"""US""","""49551226""","""R2Z0LF8EQK62VB""","""B004BGM3HC""","""608319289""","""Abbaye De Flavigny - Orange, Anise and Violet Flavored Candies From France 3 Pack 3x1.75oz""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Taste as remembered like them a lot""",2015-08-31,positive
"""US""","""32138061""","""R101OH1JM3L08F""","""B005QBAM6A""","""127889324""","""Underberg Bitter Herb 3pk""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""LOVE THIS STUFF""",2015-08-31,positive
"""US""","""161464""","""R3GPE0R3A5TG5H""","""B0050NTYXG""","""730115695""","""Hershey's Halloween Assortment, Snack Size Assortment Bag""","""Grocery""",1,0,0,0 	(N),0 	(N),"""This is a good variety""","""This is a variety of candy for halloween to hand out. The kids love it! Just need to buy at least 2-3 bags because one won't be enough for all the kids especially in my neighborhood. There are a lot of children that go trick or treating with their parents.""",2015-08-31,positive
"""US""","""35636887""","""R9MISLBRG08FX""","""B00DBSFXUA""","""294404974""","""Keebler Town House Pita Crackers, 9.5 Ounce""","""Grocery""",0,0,0,0 	(N),1 	(Y),"""pita crackers""","""not craze about these. nothing really wrong with them just no into them. These crackers are small so not much room for cheese.""",2015-08-31,negative
"""US""","""31098097""","""R1NEKLQXUMRU9J""","""B00BJ5FISE""","""607453108""","""Knorr Dill & Herbs Salad Dressing (Salat Kroenung) - Pack of 4 X 5 Pcs Ea.""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""We love it. It gives our favorite salads a taste of Bavaria.""",2015-08-31,positive
"""US""","""10013512""","""RJKKUAD4MQB1M""","""B004LUNVUG""","""312488344""","""Monin Sugar Free Triple Sec O'free (Sugar Free, Calorie Free), 33.8-Ounce Plastic Bottle (1 liter Bottle)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Nice big bottle""","""A very large bottle. I got it to make Coronarita's, and it was great.""",2015-08-31,positive
"""US""","""12650237""","""R2A9O8CWZ1PP74""","""B0083GJKR2""","""868929824""","""Eclipse Sugar Free Gum, Spearmint, 120 Piece Bottle""","""Grocery""",0,0,0,0 	(N),1 	(Y),"""Three Stars""","""it's gum..""",2015-08-31,negative
"""US""","""8586282""","""RLIVMLZE3ZLE""","""B00D0TASLO""","""265395849""","""Angostura Bitters 4 OZ""","""Grocery""",1,5,7,0 	(N),1 	(Y),"""Five Stars""","""It works well for nagging sensations in the stomach.""",2015-08-31,positive
"""US""","""39901616""","""R30DAGYFGJVMO2""","""B004AMFDF6""","""142052235""","""Green Mountain Dark Magic DECAF Extra Bold 4 Boxes of 24 K-Cups""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Good dark roast flavor.""",2015-08-31,positive
"""US""","""4740206""","""R1K7BMTEFE7CEO""","""B0052M5V0A""","""743422904""","""Nespresso OriginalLine Capsules Variety, 100 Count NOT compatible with Vertuoline machines""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Absolutely love these coffee samples.""",2015-08-31,positive
"""US""","""29871973""","""R27MXM1X1ODZ7K""","""B00507A02Q""","""755228942""","""blk Premium Alkaline Water Infused with Fulvic Trace, 16.9 Ounce Bottles (Pack of 24)""","""Grocery""",1,2,2,0 	(N),0 	(N),"""i love it""","""I don't know what kind of water these people drink but it tastes exactly like water lol it's a no brainier , and I read review saying it is bad for thyroid , what?? Please explain that!!!!!""",2015-08-31,positive
"""US""","""3333524""","""R6AXVQ16BJJO3""","""B00NTX6158""","""359101879""","""Revolution Tea Dragon Eye Oolong Tea, 30 Count""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Good choice!""",2015-08-31,positive
"""US""","""30380808""","""R3CSY2IRJBAXYI""","""B008B39N42""","""186110310""","""Cirio Italian Crushed Tomatoes, 13.76 Ounce (Pack of 16)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""fresh & great for any tomato base meal""","""Never will buy any other tomato product again. CIRIO are the best tomato product I've used.""",2015-08-31,positive
"""US""","""107642""","""R16W56BC5HSU1O""","""B001V76MFS""","""992980857""","""Pringles Variety Pack Potato Chips""","""Grocery""",1,0,0,0 	(N),0 	(N),"""Five Stars""","""I love pringles. The original one's my favorite. These snack-sized pringles are perfect!""",2015-08-31,positive
"""US""","""49436222""","""RSTH6870U4OV0""","""B00C6817HY""","""951776824""","""Vegemite 220g - Two Pack, with Amazon Prime, Australian Import""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Get some goodie from 'Downunder'""","""An Australian friend acquainted me with Vegemite 30 years ago. Now I can get it on Amazon. It tastes as great as ever on a toasted muffin or a bagel.""",2015-08-31,positive
"""US""","""25415089""","""R2AD3H93SVYULA""","""B008TSVXWE""","""153465382""","""Golden Island Natural Style Pork Jerky, Korean Barbecue Recipe""","""Grocery""",0,0,0,0 	(N),1 	(Y),"""So So""","""The flavor did remind me of Korean Bulgogi, but not in a good way. These are just ok, nothing great.""",2015-08-31,negative
"""US""","""15209907""","""R30SMG9BJDUXWE""","""B00EZDN406""","""142435880""","""Terrasoul Superfoods Wheat Grass Juice Powder (Organic)""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""So far, I really like it!""","""Soon to tell, but this wheat grass, so far, hasn't upset my stomach like another brand. This product is gluten free, and organic--must haves for me. Arrived as promised. I trust this brand.""",2015-08-31,positive
"""US""","""837246""","""R1IS7UW59ZELBB""","""B00FOLMDF0""","""280579593""","""House Foods Wasabi Powder, Super Hot, 2.2 Pound""","""Grocery""",1,0,1,0 	(N),1 	(Y),"""Five Stars""","""Really hot for wasabi""",2015-08-31,positive
"""US""","""14246596""","""RQD4EOK9ROKL""","""B00Y216XZO""","""305408799""","""Brew & Save Carafe Filter, Keurig 2.0 Multi-Cup Brewer Compatible - Orange""","""Grocery""",0,0,0,0 	(N),0 	(N),"""There are no instructions to say to make sure it ...""","""There are no instructions to say to make sure it is lined up properly with your machine or it will make holes in the bottom mesh. I learned after holes appeared.""",2015-08-31,negative
"""US""","""40938712""","""R3T0LUMRV95I93""","""B000FOIYS6""","""166530157""","""LifeSavers Hard Wint-O-Green""","""Grocery""",1,0,0,0 	(N),0 	(N),"""LifeSavers...Eons trusted name for quality, good tasting mints.""","""LifeSavers brand has been around for a long, long time. I can remember that when I was just a kid my Grandfather always carried either a roll of the Wint-O-Green or Peppermint LifeSavers in one of his business suit fob pockets. If he knew I would be visiting him and Gram at the farm, he'd hide a roll of the fruit flavored LifeSavers in one of the small chest pockets of his bib overalls for me to find. What a treat! To this day, when I eat any one of these mints, fond memories of my Grandfather and good times at the farm come flooding back. The mints have a long lasting flavor that leaves my mouth feeling fresh and cool. I buy these large bags at Walmart all the time for six dollars ninety eight a bag so not too sure why they are so pricey here.""",2015-08-31,positive
"""US""","""29000177""","""R1DIYK2UJ1C7FC""","""B00A66TR8E""","""3209118""","""Amoretti Premium Syrup, Pineapple, 25.4 Ounce""","""Grocery""",0,0,2,0 	(N),1 	(Y),"""Does not recommend!""","""This product is beautifully labelled. That's about all there is to it. The actual taste is not consistent with the flavor the label claims to represent. Just a very pretty bottle. The good news is that the failure of this product to meet my expectation served as the impetus for me to make my own syrups. Real fruit juice + Sugar""",2015-08-31,negative
"""US""","""8897431""","""R2I658I5I1TFHW""","""B00U828PZW""","""944349683""","""Simple Girl Carolina Style BBQ Sauce - 12oz Sugar Free - Low Calorie - Diabetic/Vegan Friendly - Gluten/Fat/MSG Free - Compatible with Most Diet Plans""","""Grocery""",0,0,0,0 	(N),1 	(Y),"""Three Stars""","""Ok but not enough BBQ flavor""",2015-08-31,negative
"""US""","""51545349""","""RPORZKRD9PLP7""","""B004IJK6YO""","""81991479""","""Lenny & Larry's The Complete Cookie, Peanut Butter, 4-Ounce Cookies (Pack of 12)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""Excellent taste, very soft""",2015-08-31,positive
"""US""","""1158521""","""R2HLL86SJMCSQG""","""B000FS9MUQ""","""757850482""","""DARKWING DUCK""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""It came in perfect condition!""",2015-08-31,positive
"""US""","""1416628""","""R3K98S1G8OIBZ4""","""B00VR4TQBM""","""781979812""","""Organic Cotton Candy (Pack of 4)""","""Grocery""",1,3,4,0 	(N),0 	(N),"""Wonderful Watermelon!""","""My kids and I are completely obsessed with cotton candy, however the majority of the cotton candy on the market is NOT organic, so when I discovered this organic cotton candy from Spun Paradise Cotton Candy Co., I knew that we had to give it a try...imagine, delicious flavored cotton candy, but organic! Hooray!<br /><br />My cotton candy package arrived quickly to my home and was in perfect condition in the very nice plastic containers. I am always iffy about ordering food through the mail, however, this cotton candy was perfect, not melted or damaged in any way. We ordered 4 different flavors, and had to immediately try each and every one. The watermelon quite tasty and didn't taste artificial at all, but yummy and very true to flavor. I also found that this cotton candy doesn't just melt away like typical cheapie cotton candy tends to. It melts nicely in the mouth and is absolutely delicious. I will never ever ever go back to the average run of the mill cotton candy and will definitely be repurchasing from Spun Paradise in the future!!<br /><br />I received this product at no cost to me and have provided my honest and unbiased review in return.""",2015-08-31,positive
"""US""","""8019898""","""R174OVX7IYB61B""","""B00C81PMFC""","""605611665""","""Freezer Bars Kool Pops Assorted Box of 20 - 1.5 Oz Pops""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Great product""","""Great product""",2015-08-31,positive
"""US""","""31115794""","""R3CG6PPJMZBD98""","""B001SAVJ4W""","""842142604""","""Kava Instant Coffee""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Good flavor""","""This is the only instant coffee I drink. Good flavor, a little less acid to make my tummy happy. I've been drinking this for over 10 years, it tastes almost as good as regular brewed coffee.""",2015-08-31,positive
"""US""","""13386957""","""R2XBIA5LG2WW5M""","""B013F4NCQ6""","""289793319""","""80pk White Coffee Lot Co K-Cups Organic Variety Pack Bio-degradable Pods, 4 Flavors""","""Grocery""",0,1,1,0 	(N),1 	(Y),"""Tasteless""","""I am disappointed in this coffee. It has very little flavor and I have to use the strong brewing setting on my Bunn My Café to get the little taste there is. I try to always by organic but this is really a waste of my money.""",2015-08-31,negative
"""US""","""34288391""","""R1VQ23BJJ2XPKQ""","""B00E19WJ1E""","""17205619""","""Stash Tea Holiday Tea Assortment""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""This tea is great. I enjoyed each flavor""","""This tea is great. I enjoyed each flavor.""",2015-08-31,positive
"""US""","""49354808""","""R3J23ZP07TKBIX""","""B00NE4AR2A""","""851801606""","""Good Earth Teas Organic Sweet and Spicy Caffeine Free Herbal 18 Tea Bags, 4 Count""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""My favorite tea!""","""This is my go-to tea for cold winter nights!""",2015-08-31,positive
"""US""","""12386924""","""R1Y91JHART410S""","""B00DPEK6MA""","""847837548""","""Copper Moon Kona Blend Single Cup Pod""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""good""","""husband likes""",2015-08-31,positive
"""US""","""42449391""","""R1NO4Y2EUF8SMW""","""B00269VK20""","""911233799""","""Organic Ceylon Cinnamon Ground Powder - 1 lb""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Tastes great""","""It might take me &#34;forever&#34; to use this bag but it tastes GREAT! It has more of a &#34;peppery like&#34; taste compared to cinnamon that you buy in the store and is not as sweet.""",2015-08-31,positive
"""US""","""42729038""","""RFHRWIAOMB23Q""","""B00F9WVMME""","""511501542""","""Yuban Organic Ground Coffee, Medium Roast, 11 Ounce Canister""","""Grocery""",0,0,0,0 	(N),1 	(Y),"""and the organic brand is not much better tasting!""","""much cheaper in the grocery store, and the organic brand is not much better tasting!""",2015-08-31,negative
"""US""","""51445040""","""R37AI4TQDF4963""","""B002ZOPTGY""","""428067417""","""Blue Plate Mayonnaise""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Great! I have to import this to any area ...""","""Great! I have to import this to any area in the country where I am living that doesn't carry it and I think that's most of the US.""",2015-08-31,positive
"""US""","""43692735""","""R37DC12C9JK3SL""","""B00ADYXY7E""","""104506624""","""Monster Energy Drink""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love this stuff!""",2015-08-31,positive
"""US""","""11915964""","""R9RTPL7GV9QX""","""B00B8YXVUS""","""954742183""","""Sweet Leaf Liq Stevia Peppermnt Flav 2 Fz""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Great product as usual. The mint has a stronger bite, not as subtle as others, but that's my preference.""",2015-08-31,positive
"""US""","""27397668""","""R15MSHIILT7VUI""","""B00J9P80SQ""","""627833437""","""Cakeshop 12 x PRE-CUT Lego Movie Stand Up Edible Cake Toppers""","""Grocery""",1,0,1,0 	(N),1 	(Y),"""Four Stars""","""Used it on my son's birthday cake""",2015-08-31,positive
"""US""","""5999054""","""R38R5425CS9QXQ""","""B005KG7EDU""","""784610612""","""Great Lakes Gelatin, Certified Paleo Friendly, Keto Certified, Collagen Hydrolysate, Peptides, Pasture-Raised Grass-Fed, Non GMO, 16 oz, FFP""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Five Stars""","""easy to use hardly any taste""",2015-08-31,positive
"""US""","""51834701""","""R296FQSRV4D4UX""","""B003L4BQ7S""","""149434989""","""Cafe Britt Costa Rica Organic Shade Grown Ground Coffee, 12-Ounce Bags (Pack of 2)""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Five Stars""","""Delicious, smooth, bitter free coffee.""",2015-08-31,positive
"""US""","""29447679""","""R1ZF7P6497XITN""","""B00AO7I15A""","""493497653""","""Katz Gluten Free Donuts""","""Grocery""",0,0,0,0 	(N),1 	(Y),"""Two Stars""","""Just okay""",2015-08-31,negative
"""US""","""52646512""","""R3T1JWKO1X6EDL""","""B000F4GPC8""","""89439274""","""Miso-Cup Soup with Seaweed, 2-Serving Envelopes (Pack of 24)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Old stand by that is delicious""","""Perfect and easy healthy soup mix""",2015-08-31,positive
"""US""","""48255002""","""R7KN3D8529COQ""","""B00509LVIQ""","""138680402""","""Mauna Loa Macadamias, 11 Ounce Packages""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""YUMMY""","""What can I say, these are so yummy you can't stop eating them! :)""",2015-08-31,positive
"""US""","""6301556""","""R2UK4484QJMYMR""","""B003SPM64C""","""546768141""","""Royal Family Japanese Rice Cake Mochi Daifuku (Red Bean), 7.4 Ounce""","""Grocery""",1,0,1,0 	(N),1 	(Y),"""Satisfied""","""Very delicious. Will be getting more in the future.""",2015-08-31,positive
"""US""","""2039038""","""R2XXK3RQ3BWC0Y""","""B00SF7L2IE""","""52645130""","""30 Pack - Variety Flavored Coffee Sampler K-Cup for Keurig K Cup Brewers and 2.0 brewers - From Top Brand Names Green Mountain, Folgers, Van Houtte, Gloria Jean's, Timothy's and Starbucks""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Super!!!!!""",2015-08-31,positive
"""US""","""10519195""","""R20QLT2NKU8DFR""","""B00Q541AQI""","""530616670""","""McCafe Coffee On Demand Single Serve French Dark Roast Coffee""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love this coffee""",2015-08-31,positive
"""US""","""13822691""","""RA5J5DXP2R9VC""","""B00CPZPYLS""","""187460012""","""Carrington Farms Organic Extra Virgin Coconut Oil""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""This is really good coconut oil""","""This is really good coconut oil. I use it to cook with and as a supplement to my diet. It is also very good for blemishes.""",2015-08-31,positive
"""US""","""44277197""","""R3NLZMY4OXITC3""","""B005HUVI40""","""125604437""","""Donut House Coffee Collection, Green Mountain Coffee K-Cup Portion Pack for Keurig K-Cup Brewers""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Great coffee""",2015-08-31,positive
"""US""","""14061108""","""R1JTM3NPXWKSC8""","""B00F288CNM""","""652749884""","""Ben's Sweet & Hot Mustard | All Natural, No Preservatives | Award Winning Mustard (16oz)""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Five Stars""","""WHAT A GREAT MUSTARD, JUST LIKE IT SAYS ITS SWEET AND A LITTLE HOT""",2015-08-31,positive
"""US""","""106923""","""R21D0V837ECJJN""","""B0063K4BPG""","""712357467""","""Krispy Kreme Glazed Chocolate Pies - - 6 Individually Boxed Single Serving Pies""","""Grocery""",1,2,2,0 	(N),0 	(N),"""I'm not a fan of pies and sweets but these ...""","""I'm not a fan of pies and sweets but these are yummy! I always eat one on my cheat day.""",2015-08-31,positive
"""US""","""10768580""","""R2MSNM96Z15B2C""","""B001E0YBM8""","""510006387""","""Rainbow Research Henna Hair Col Original And Conditioner Persian Medium Brown Chestnut - 4 Oz (packaging may vary)""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Beautiful result""","""Finally, I found an all-natural way to dye my hair. Glad to use it.""",2015-08-31,positive
"""US""","""51211698""","""R2VD2F43POYW4L""","""B004V3D2WK""","""615145750""","""Celestial Perfect Iced Tea Southern Sweet Keurig K-Cups""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""I was expecting ""southern"" sweetness from this tea""","""I was expecting &#34;southern&#34; sweetness from this tea. It doesn't t live up to that southern descriptor in my opinion. However, it is a very good tea and if u add a little sweeter, you're golden.""",2015-08-31,positive
"""US""","""15002998""","""R1P5H0R3TB5YPG""","""B000NMFXHU""","""441374462""","""Planters Original Peanut Bar (24 count)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Very pleased""","""Peanut bars arrived promptly and were delicious and fresh.""",2015-08-31,positive
"""US""","""50365169""","""R1E3473B9XQB78""","""B00N2ZPZ9Q""","""82083715""","""Claey's Candies Lemon Drop Hard Candy, 6 Package Deal""","""Grocery""",1,0,1,0 	(N),1 	(Y),"""Five Stars""","""great product, great value!""",2015-08-31,positive
"""US""","""50322533""","""R3JXJN32XTD9IE""","""B007TKX5I8""","""899642341""","""Sorbee Sugar Free Assorted Wild Fruit Lollypops Candy 1 Lb""","""Grocery""",0,1,1,0 	(N),1 	(Y),"""Tasty but too pricey""","""These are really delish. They don't just taste like sugar; they have real flavor. But I had to deduct two stars for:<br />1. The artificial sweetener used upsets my stomach (not Splenda, the other sweetener they use)<br />2. These are WAY too expensive. Don't think I'll be ordering again unless the price comes down.""",2015-08-31,negative
"""US""","""13143623""","""R30WFF8GTYE8JR""","""B001EQ5ERI""","""509892875""","""Lavazza Caffe Espresso Ground Coffee""","""Grocery""",1,0,0,0 	(N),0 	(N),"""Five Stars""","""Great coffee!""",2015-08-31,positive
"""US""","""19130250""","""R8OR0J0GGNRJE""","""B00JX9HFSY""","""535542865""","""V8 V-Fusion Peach Mango Flavored Vegetable & Fruit Juice + Energy, 8 oz, 6pk(Case of 2)""","""Grocery""",1,0,0,0 	(N),0 	(N),"""Delicious Energy""","""Who knew you could enjoy an energy drink for breakfast? I received this product to try and review from bzzagent.com. I love the taste of this V8 V-Fusion +Energy. You can taste both the peach and the mango and the combination is delicious. It is not as sweet as fruit juice. The drink contains 50% juice, and and also green tea. There is no added sugar which is a selling point for me as my fiance has diabetes and I try to watch my sugar intake as well. There is a mild amount of caffeine in the drink which I prefer as too much caffeine makes me jittery. V8 V-Fusion +Energy has just enough to get you through a busy morning. I would definitely recommend it.""",2015-08-31,positive
"""US""","""14978216""","""R19J8OHVAOUAK4""","""B0000GHNUO""","""839866577""","""Valentina Salsa Picante Mexican Sauce, Hot, 34 Ounce""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""My personal favorite""",2015-08-31,positive
